Fecha;Risk_Free;;;
30/08/2023;10.198;;;
29/08/2023;10.1423;;;
28/08/2023;10.1783;;;
25/08/2023;10.2356;;;
24/08/2023;10.2597;;;
23/08/2023;10.32;;;
22/08/2023;10.4923;;;
21/08/2023;10.4198;;;
18/08/2023;10.4189;;;
17/08/2023;10.4363;;;
16/08/2023;10.1923;;;
15/08/2023;10.1221;;;
14/08/2023;9.9726;;;
11/08/2023;9.9286;;;
10/08/2023;9.8434;;;
9/08/2023;9.867;;;
8/08/2023;9.8671;;;
7/08/2023;9.9262;;;
4/08/2023;9.9246;;;
3/08/2023;10.0739;;;
2/08/2023;9.9592;;;
1/08/2023;9.714;;;
31/07/2023;9.7066;;;
28/07/2023;9.8939;;;
27/07/2023;9.9787;;;
26/07/2023;9.9157;;;
25/07/2023;9.9709;;;
24/07/2023;9.9953;;;
21/07/2023;9.6704;;;
20/07/2023;9.6614;;;
19/07/2023;9.6613;;;
18/07/2023;9.6535;;;
17/07/2023;9.6535;;;
14/07/2023;9.6553;;;
13/07/2023;9.519;;;
12/07/2023;9.5048;;;
11/07/2023;9.5705;;;
10/07/2023;9.6776;;;
7/07/2023;9.8291;;;
6/07/2023;9.8635;;;
5/07/2023;9.7054;;;
4/07/2023;9.7665;;;
3/07/2023;9.7541;;;
30/06/2023;9.7532;;;
29/06/2023;9.8548;;;
28/06/2023;9.7831;;;
27/06/2023;9.9027;;;
26/06/2023;10.0152;;;
23/06/2023;10.0562;;;
22/06/2023;10.1009;;;
21/06/2023;10.1507;;;
20/06/2023;10.1739;;;
19/06/2023;10.1484;;;
16/06/2023;10.1463;;;
15/06/2023;10.2138;;;
14/06/2023;10.1588;;;
13/06/2023;10.1228;;;
12/06/2023;10.1675;;;
9/06/2023;10.1656;;;
8/06/2023;10.2292;;;
7/06/2023;10.4482;;;
6/06/2023;10.4591;;;
5/06/2023;10.4441;;;
2/06/2023;10.7141;;;
1/06/2023;10.7473;;;
31/05/2023;10.6528;;;
30/05/2023;10.6064;;;
29/05/2023;10.6965;;;
26/05/2023;10.8754;;;
25/05/2023;10.9272;;;
24/05/2023;10.811;;;
23/05/2023;10.7707;;;
22/05/2023;10.7569;;;
19/05/2023;10.7553;;;
18/05/2023;10.6157;;;
17/05/2023;10.5816;;;
16/05/2023;10.5063;;;
15/05/2023;10.5332;;;
12/05/2023;10.7281;;;
11/05/2023;10.8081;;;
10/05/2023;10.9308;;;
9/05/2023;10.8378;;;
8/05/2023;10.8443;;;
5/05/2023;10.9568;;;
4/05/2023;11.0878;;;
3/05/2023;11.2175;;;
2/05/2023;11.431;;;
1/05/2023;11.3253;;;
28/04/2023;11.3238;;;
27/04/2023;11.3553;;;
26/04/2023;10.9509;;;
25/04/2023;10.8221;;;
24/04/2023;10.8786;;;
21/04/2023;10.9877;;;
20/04/2023;10.9829;;;
19/04/2023;11.0021;;;
18/04/2023;10.9856;;;
17/04/2023;11.0492;;;
14/04/2023;10.9112;;;
13/04/2023;10.9273;;;
12/04/2023;11.0557;;;
11/04/2023;11.1535;;;
10/04/2023;11.2602;;;
7/04/2023;11.0543;;;
6/04/2023;11.0539;;;
5/04/2023;11.0534;;;
4/04/2023;11.0145;;;
3/04/2023;11.1268;;;
31/03/2023;11.261;;;
30/03/2023;11.3935;;;
29/03/2023;11.4954;;;
28/03/2023;11.539;;;
27/03/2023;11.4296;;;
24/03/2023;11.4745;;;
23/03/2023;11.4764;;;
22/03/2023;11.6149;;;
21/03/2023;11.8003;;;
20/03/2023;11.8425;;;
17/03/2023;11.8409;;;
16/03/2023;11.888;;;
15/03/2023;12.0185;;;
14/03/2023;11.9106;;;
13/03/2023;11.9116;;;
10/03/2023;11.6613;;;
9/03/2023;11.9495;;;
8/03/2023;12.0161;;;
7/03/2023;11.8973;;;
6/03/2023;11.7543;;;
3/03/2023;12.5591;;;
2/03/2023;12.5024;;;
1/03/2023;12.571;;;
28/02/2023;12.5809;;;
27/02/2023;12.4983;;;
24/02/2023;12.5086;;;
23/02/2023;12.3404;;;
22/02/2023;12.5282;;;
21/02/2023;12.6955;;;
20/02/2023;12.5813;;;
17/02/2023;12.0947;;;
16/02/2023;12.0645;;;
